                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72634,                 3.1724,                 1.2331,                0.66571,                0.25308,                0.40662,                0.30621,                0.66175,                 2.6447,                 1.1966,             0.00023465,             0.00023465,             0.00023465
                      2,                0.82104,                  2.242,                 1.2824,                0.60658,                0.70813,                0.68814,                0.48924,                0.86148,                 1.7831,                  1.418,             0.00046329,             0.00046329,             0.00046329
                      3,                0.85352,                 1.8752,                  1.292,                0.65745,                0.58602,                0.69077,                0.45287,                 1.0999,                 1.8928,                 1.7541,             0.00068251,             0.00068251,             0.00068251
                      4,                0.86282,                 1.8104,                 1.2995,                0.57953,                0.65405,                 0.7199,                0.49641,                0.96925,                 2.4577,                 1.5727,             0.00067159,             0.00067159,             0.00067159
                      5,                0.84669,                 1.7298,                 1.2836,                0.76276,                 0.7003,                0.80958,                0.57821,                0.88112,                 1.5489,                 1.4101,             0.00067159,             0.00067159,             0.00067159
                      6,                0.84886,                 1.6361,                 1.2776,                0.71092,                0.73268,                0.79035,                0.56071,                  1.021,                 1.5592,                 1.4901,             0.00065745,             0.00065745,             0.00065745
                      7,                0.85169,                 1.5309,                 1.2719,                0.76663,                0.68228,                0.78525,                0.54609,                0.96246,                  1.487,                 1.5393,             0.00064331,             0.00064331,             0.00064331
                      8,                0.79474,                 1.4303,                 1.2544,                0.81738,                0.76895,                0.84782,                0.62398,                0.83943,                  1.347,                 1.3486,             0.00062918,             0.00062918,             0.00062918
                      9,                0.78391,                 1.3539,                 1.2329,                0.75695,                0.77184,                0.82875,                0.60542,                0.85772,                 1.3841,                 1.3587,             0.00061504,             0.00061504,             0.00061504
                     10,                0.77574,                 1.3034,                 1.2246,                0.81616,                0.79357,                0.85508,                0.63909,                0.83708,                 1.1547,                 1.3764,              0.0006009,              0.0006009,              0.0006009
                     11,                0.78071,                  1.255,                 1.2301,                0.76596,                0.74287,                0.81127,                0.59746,                0.84168,                 1.2123,                 1.3457,             0.00058677,             0.00058677,             0.00058677
                     12,                0.75473,                 1.2132,                 1.2025,                 0.8331,                0.83498,                0.88915,                0.66084,                0.87203,                 1.0314,                 1.3918,             0.00057263,             0.00057263,             0.00057263
                     13,                0.74775,                 1.1741,                 1.2058,                 0.8439,                0.80419,                0.88809,                0.66499,                0.85602,                0.99222,                 1.4676,             0.00055849,             0.00055849,             0.00055849
                     14,                0.73177,                 1.0991,                 1.1952,                0.76943,                0.74719,                0.80709,                0.61614,                0.77636,                 1.1446,                 1.3164,             0.00054435,             0.00054435,             0.00054435
                     15,                0.71087,                 1.1115,                 1.1787,                0.85462,                0.80524,                0.87701,                0.66651,                0.81937,                0.95449,                 1.3771,             0.00053022,             0.00053022,             0.00053022
                     16,                0.70398,                 1.0487,                 1.1677,                0.84715,                0.81657,                0.85726,                0.65262,                0.78783,                0.93668,                   1.29,             0.00051608,             0.00051608,             0.00051608
                     17,                0.71808,                 1.0027,                 1.1716,                0.81552,                0.83394,                0.87499,                0.67926,                0.77385,                0.88702,                 1.2624,             0.00050194,             0.00050194,             0.00050194
                     18,                 0.7023,                0.98635,                 1.1688,                0.83366,                0.87619,                0.90745,                0.71235,                 0.7652,                0.82882,                 1.2751,              0.0004878,              0.0004878,              0.0004878
                     19,                0.68106,                0.95609,                 1.1614,                0.84098,                 0.8157,                0.90027,                0.70234,                 0.7612,                0.90569,                 1.2668,             0.00047367,             0.00047367,             0.00047367
                     20,                0.66511,                0.90585,                 1.1491,                0.89518,                0.84645,                0.93007,                0.73226,                0.73395,                0.71005,                  1.239,             0.00045953,             0.00045953,             0.00045953
                     21,                0.67275,                0.94029,                 1.1575,                0.84366,                0.82365,                 0.8792,                0.68787,                0.74716,                0.89216,                 1.2578,             0.00044539,             0.00044539,             0.00044539
                     22,                0.65807,                0.92011,                 1.1357,                0.89092,                0.84726,                0.92138,                0.73229,                0.72549,                0.71436,                 1.2271,             0.00043126,             0.00043126,             0.00043126
                     23,                0.62513,                0.85741,                 1.1222,                0.87759,                0.85634,                0.92304,                0.72005,                0.74179,                0.71314,                 1.2577,             0.00041712,             0.00041712,             0.00041712
                     24,                0.65118,                0.86599,                 1.1263,                0.87964,                0.86579,                0.92458,                0.72563,                0.78177,                0.72448,                 1.2989,             0.00040298,             0.00040298,             0.00040298
                     25,                  0.633,                 0.8336,                 1.1266,                0.88153,                0.87718,                 0.9328,                0.75532,                0.67991,                 0.7088,                 1.1878,             0.00038884,             0.00038884,             0.00038884
                     26,                0.61564,                0.80387,                 1.1127,                0.88849,                 0.8809,                 0.9294,                0.73506,                 0.7168,                0.70776,                 1.2264,             0.00037471,             0.00037471,             0.00037471
                     27,                0.62006,                 0.7935,                 1.1085,                0.86009,                0.87624,                0.93987,                 0.7646,                0.73702,                0.65279,                 1.2399,             0.00036057,             0.00036057,             0.00036057
                     28,                0.59814,                0.76683,                 1.0947,                0.90656,                0.89755,                0.94167,                0.75253,                0.71708,                0.63222,                 1.2187,             0.00034643,             0.00034643,             0.00034643
                     29,                0.58992,                0.74439,                 1.0956,                 0.9183,                0.89022,                0.94082,                0.74658,                 0.7119,                0.66834,                 1.2047,              0.0003323,              0.0003323,              0.0003323
                     30,                0.60362,                0.76548,                 1.0985,                0.90159,                0.88683,                0.93975,                0.76421,                0.68928,                0.64969,                 1.2099,             0.00031816,             0.00031816,             0.00031816
                     31,                 0.5935,                0.74115,                 1.0948,                0.90321,                 0.8932,                0.93583,                0.76347,                0.69071,                0.60673,                 1.1972,             0.00030402,             0.00030402,             0.00030402
                     32,                0.58593,                0.73455,                 1.0918,                0.93054,                0.86943,                0.93523,                0.74557,                0.70519,                0.66601,                 1.2181,             0.00028988,             0.00028988,             0.00028988
                     33,                0.58355,                0.70009,                 1.0894,                0.93941,                0.86603,                0.93931,                0.77584,                 0.6598,                 0.5998,                 1.1663,             0.00027575,             0.00027575,             0.00027575
                     34,                 0.5673,                0.69947,                 1.0785,                0.91005,                0.89484,                0.93671,                0.76065,                0.68263,                0.60446,                 1.1949,             0.00026161,             0.00026161,             0.00026161
                     35,                0.55367,                0.69747,                 1.0703,                0.92439,                0.89253,                0.94347,                0.77795,                0.68434,                0.56708,                  1.186,             0.00024747,             0.00024747,             0.00024747
                     36,                0.55495,                 0.6774,                 1.0669,                0.90695,                0.88307,                0.92752,                0.76603,                0.63961,                0.63659,                 1.1573,             0.00023334,             0.00023334,             0.00023334
                     37,                0.54571,                0.65173,                 1.0678,                0.92355,                0.88559,                0.94234,                0.76618,                0.69803,                0.57933,                 1.2011,              0.0002192,              0.0002192,              0.0002192
                     38,                0.56082,                0.64541,                 1.0802,                0.94579,                0.87447,                0.93791,                0.76156,                0.66428,                0.58114,                 1.1719,             0.00020506,             0.00020506,             0.00020506
                     39,                0.52925,                0.63588,                 1.0673,                0.93281,                0.90048,                0.94344,                0.78741,                0.63321,                0.55752,                 1.1538,             0.00019092,             0.00019092,             0.00019092
                     40,                0.53679,                0.63362,                 1.0649,                0.90811,                0.90226,                0.94315,                 0.7918,                0.63302,                0.53707,                 1.1417,             0.00017679,             0.00017679,             0.00017679
                     41,                0.46446,                0.56228,                 1.0179,                0.93746,                0.89138,                0.93569,                0.77393,                0.64109,                0.57366,                  1.164,             0.00016265,             0.00016265,             0.00016265
                     42,                 0.4289,                0.48402,                0.98597,                0.90781,                0.89263,                0.93153,                0.78535,                 0.6129,                0.57471,                 1.1204,             0.00014851,             0.00014851,             0.00014851
                     43,                0.41226,                0.46187,                0.96769,                 0.9033,                0.91302,                 0.9376,                0.78426,                0.60316,                0.55543,                 1.1143,             0.00013437,             0.00013437,             0.00013437
                     44,                0.40631,                0.46395,                0.96972,                0.96026,                0.90133,                0.94776,                0.79509,                0.60516,                0.51878,                 1.1136,             0.00012024,             0.00012024,             0.00012024
                     45,                0.39316,                0.43743,                 0.9527,                0.91761,                0.93595,                0.95264,                0.80113,                0.60359,                0.50676,                  1.123,              0.0001061,              0.0001061,              0.0001061
                     46,                0.39557,                0.42637,                0.95991,                0.92217,                0.90259,                 0.9418,                0.79738,                0.60524,                0.50971,                 1.1223,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 0.3877,                 0.4147,                0.94263,                0.92796,                0.90737,                0.94738,                0.79834,                 0.6023,                0.49216,                 1.1144,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.36623,                 0.4019,                0.93296,                0.91361,                0.91522,                0.94509,                0.80083,                0.60353,                0.49955,                 1.1301,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.36699,                0.39089,                 0.9338,                0.92974,                0.91118,                0.94862,                0.80051,                0.59785,                0.49514,                 1.1261,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 0.3602,                0.39917,                0.93696,                0.94411,                0.91507,                0.94973,                0.80457,                 0.5978,                0.48011,                 1.1235,             3.5414e-05,             3.5414e-05,             3.5414e-05
